timestamp,open,high,low,close,volume
1638489600000,150.307,150.454,150.16,150.372,20394.6702
1638504000000,150.372,150.594,150.345,150.533,20741.2793
1638518400000,150.53,150.699,150.139,150.421,35015.9302
1638532800000,150.42,150.752,149.562,149.667,67058.9111
1638547200000,149.668,149.776,148.985,148.989,39882.8892
1638561600000,148.993,149.337,148.975,149.229,10128.2297
1638734400000,149.209,149.686,149.182,149.609,9057.5901
1638748800000,149.609,149.673,149.349,149.551,24348.4104
1638763200000,149.554,149.786,149.493,149.712,19394.0295
1638777600000,149.716,150.38,149.694,150.313,41544.8604
1638792000000,150.316,150.343,149.774,150.157,43725.6104
1638806400000,150.158,150.602,150.126,150.458,20836.7305
1638820800000,150.452,150.549,150.354,150.479,21388.6399
1638835200000,150.479,150.859,150.354,150.843,19604.1899
1638849600000,150.843,151.125,150.811,150.94,21687.7905
1638864000000,150.938,151.088,150.392,150.482,26946.7202
1638878400000,150.481,150.561,150.141,150.421,36668.001
1638892800000,150.421,150.543,150.12,150.412,18114.0098
1638907200000,150.406,150.534,150.145,150.365,11425
1638921600000,150.362,150.521,150.184,150.462,25468.9297
1638936000000,150.464,150.522,150.001,150.172,17367.1399
1638950400000,150.17,150.458,149.357,150.232,48612.8799
1638964800000,150.233,150.531,149.907,150.495,50708.5
1638979200000,150.495,150.695,150.351,150.426,20897.1804
1638993600000,150.424,150.438,149.969,150.159,11403.3599
1639008000000,150.158,150.315,150.036,150.112,13852.9199
1639022400000,150.111,150.176,149.807,149.807,15289.3301
1639036800000,149.806,150.006,149.548,149.66,28100.3501
1639051200000,149.66,149.961,149.485,149.807,37192.0811
1639065600000,149.808,150.162,149.691,149.87,18901.4104
1639080000000,149.868,150.04,149.839,150.009,10067.8899
1639094400000,150.011,150.267,149.763,150.183,26144.8599
1639108800000,150.184,150.208,149.959,150.093,22541.48
1639123200000,150.092,150.206,149.957,150.15,30067.8999
1639137600000,150.15,150.372,149.667,150.027,46160.9404
1639152000000,150.024,150.495,149.753,150.366,21875.7798
1639166400000,150.367,150.509,150.352,150.445,5616.7998
1639339200000,150.305,150.481,150.194,150.479,10350.0703
1639353600000,150.477,150.563,150.416,150.458,10588.7401
1639368000000,150.461,150.51,150.078,150.257,11450.4601
1639382400000,150.256,150.732,150.222,150.677,28824.5806
1639396800000,150.677,150.752,150.22,150.259,40090.5996
1639411200000,150.262,150.278,149.869,150.06,21108.3198
1639425600000,150.058,150.153,149.998,150.063,10351.1798
1639440000000,150.064,150.089,149.762,149.856,15557.72
1639454400000,149.855,150.207,149.809,150.108,15171.27
1639468800000,150.108,150.48,150.042,150.443,33886.5093
1639483200000,150.444,150.577,150.171,150.474,39089.1396
1639497600000,150.479,150.562,150.263,150.374,19848.5295
1639512000000,150.372,150.484,150.334,150.466,9113.5898
1639526400000,150.465,150.594,150.415,150.528,15044.3904
1639540800000,150.528,150.747,150.477,150.692,14648.8901
1639555200000,150.692,151.009,150.64,150.911,26270.5601
1639569600000,150.907,150.985,150.349,150.438,38783.5098
1639584000000,150.436,151.015,150.273,150.941,49103.9595
1639598400000,150.942,151.474,150.928,151.37,29019.8804
1639612800000,151.365,151.445,151.11,151.245,24419.3203
1639627200000,151.246,151.436,151.107,151.366,20440.1602
1639641600000,151.366,151.81,151.339,151.572,31582.6802
1639656000000,151.573,152.631,151.369,151.63,65789.5996
1639670400000,151.63,151.653,151.132,151.191,26161.9697
1639684800000,151.191,151.537,151.089,151.427,16102.8999
1639699200000,151.43,151.71,151.145,151.224,21030.9697
1639713600000,151.223,151.508,151.107,151.274,26302.2998
1639728000000,151.273,151.445,150.712,150.777,33696.6797
1639742400000,150.778,150.852,150.424,150.709,45620.9697
1639756800000,150.708,150.785,150.577,150.651,32073.4697
1639771200000,150.652,150.685,150.437,150.474,7379.8
1639944000000,150.449,150.548,150.163,150.167,8434.3301
1639958400000,150.165,150.369,150.059,150.123,45393.79
1639972800000,150.12,150.178,149.655,149.908,29958.1401
1639987200000,149.907,150.109,149.521,150.092,38563.4609
1640001600000,150.094,150.4,149.784,149.928,43439.8901
1640016000000,149.931,150.229,149.763,150.11,20946.3901
1640030400000,150.109,150.185,149.97,150.135,11625.0696
