timestamp,open,high,low,close,volume
1639672200000,1.13094,1.13128,1.13051,1.13102,1546.1
1639674000000,1.13102,1.13109,1.13024,1.13102,1027.19
1639675800000,1.13103,1.13197,1.13103,1.13179,1030.91
1639677600000,1.13179,1.13196,1.1315,1.13154,576.55
1639679400000,1.13154,1.13218,1.1315,1.13206,633.51
1639681200000,1.13205,1.13229,1.13192,1.13215,586.9
1639683000000,1.13216,1.13261,1.13184,1.13247,876.08
1639684800000,1.13246,1.13305,1.13188,1.13305,1011.58
1639686600000,1.13306,1.13364,1.13304,1.13331,790.315
1639688400000,1.1333,1.13339,1.13304,1.13305,425.01
1639690200000,1.13306,1.13322,1.13284,1.13292,324.19
1639692000000,1.13293,1.13344,1.13287,1.13292,415.64
1639693800000,1.13292,1.13335,1.13292,1.13298,542.5675
1639695600000,1.13299,1.13333,1.13275,1.13317,1123.44
1639697400000,1.13319,1.13348,1.13304,1.13336,282.73
1639699200000,1.13335,1.13351,1.13284,1.13318,718.96
1639701000000,1.13317,1.13319,1.13272,1.13285,533.72
1639702800000,1.13284,1.13318,1.13233,1.13233,777.45
1639704600000,1.13234,1.13246,1.13206,1.1321,847.88
1639706400000,1.1321,1.13241,1.13202,1.13214,993.9
1639708200000,1.13215,1.13254,1.13211,1.13248,617.72
1639710000000,1.13248,1.13253,1.13231,1.13238,492.87
1639711800000,1.13238,1.13273,1.13233,1.13269,534.85
1639713600000,1.13269,1.13311,1.13264,1.13305,771.43
1639715400000,1.13305,1.13359,1.13305,1.13354,590.01
1639717200000,1.13354,1.13415,1.13351,1.13398,861.81
1639719000000,1.13399,1.13488,1.13387,1.1348,913.85
1639720800000,1.13479,1.13486,1.1338,1.13393,766.45
1639722600000,1.13393,1.13394,1.13334,1.13336,780.98
1639724400000,1.13335,1.13359,1.13234,1.13265,1657.54
1639726200000,1.13265,1.13274,1.1317,1.13181,1533.43
1639728000000,1.13181,1.13277,1.13177,1.13276,2227.22
1639729800000,1.13274,1.13376,1.13271,1.13356,1746.57
1639731600000,1.13357,1.13397,1.13281,1.13291,3007.54
1639733400000,1.13293,1.13376,1.13267,1.13342,2681.12
1639735200000,1.13342,1.13342,1.13255,1.1328,2097.04
1639737000000,1.13283,1.13337,1.1322,1.13251,1776.38
1639738800000,1.13252,1.13252,1.13115,1.13154,1752.71
