2025-12-11 16:42:53,316 - Iteración 1
2025-12-11 16:46:11,002 - Iteración 1
2025-12-11 16:48:10,272 - Iteración 1
2025-12-11 16:48:51,005 - Iteración 1
2025-12-11 16:48:56,456 - Iteración 2
2025-12-11 16:49:01,660 - Iteración 3
2025-12-11 16:49:06,791 - Iteración 4
2025-12-11 16:49:11,992 - Iteración 5
2025-12-11 16:49:17,081 - Iteración 6
2025-12-11 16:49:22,232 - Iteración 7
2025-12-11 16:49:27,381 - Iteración 8
2025-12-11 16:49:32,551 - Iteración 9
2025-12-11 16:49:37,680 - Iteración 10
2025-12-11 16:49:43,115 - Iteración 1
2025-12-11 16:49:48,340 - Iteración 2
2025-12-11 16:49:53,531 - Iteración 3
2025-12-11 16:49:58,693 - Iteración 4
2025-12-11 16:50:03,821 - Iteración 5
2025-12-11 16:50:08,971 - Iteración 6
2025-12-11 16:50:14,157 - Iteración 7
2025-12-11 16:50:19,373 - Iteración 8
2025-12-11 16:50:24,467 - Iteración 9
2025-12-11 16:50:42,473 - Iteración 1
2025-12-11 16:50:47,882 - Iteración 2
2025-12-11 16:50:53,025 - Iteración 3
