timestamp,date,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1732244400000,2024-11-22T03:00:00.000Z,98617.46000000,99299.99000000,98422.33000000,98836.50000000,3031.99947300,1732247999999,299772030.85821622,294625,1666.41231300,164783374.56487862
1732248000000,2024-11-22T04:00:00.000Z,98836.49000000,99100.00000000,98666.67000000,98797.21000000,1252.78507000,1732251599999,123871350.60983020,198195,594.37423000,58770776.72579230
1732251600000,2024-11-22T05:00:00.000Z,98797.21000000,98988.00000000,98517.21000000,98790.97000000,1249.93318000,1732255199999,123505571.11731930,153828,601.13531000,59410570.69721130
1732255200000,2024-11-22T06:00:00.000Z,98790.97000000,99030.31000000,98624.41000000,98999.99000000,1140.73557000,1732258799999,112738885.94433820,146600,534.89085000,52867730.25230740
1732258800000,2024-11-22T07:00:00.000Z,99000.00000000,99419.99000000,98875.82000000,99173.70000000,2989.41178000,1732262399999,296575002.32367227,297961,1499.84486000,148786770.31743347
1732262400000,2024-11-22T08:00:00.000Z,99173.70000000,99267.19000000,98750.00000000,98815.79000000,1967.24513000,1732265999999,194723519.64015610,249734,738.54479000,73112105.15629240
1732266000000,2024-11-22T09:00:00.000Z,98815.79000000,98847.79000000,98358.00000000,98702.00000000,1915.68673000,1732269599999,188859784.63318080,254900,863.43890000,85126836.69254290
1732269600000,2024-11-22T10:00:00.000Z,98702.01000000,98768.00000000,98256.41000000,98400.00000000,1328.09623000,1732273199999,130759694.85325030,240327,781.41395000,76943387.57554830
1732273200000,2024-11-22T11:00:00.000Z,98400.00000000,98937.00000000,98219.84000000,98870.38000000,1079.71994000,1732276799999,106519353.79155480,226368,473.35940000,46717692.39536530
1732276800000,2024-11-22T12:00:00.000Z,98870.39000000,98949.00000000,98492.00000000,98621.04000000,999.27938000,1732280399999,98646682.26677700,225230,408.77929000,40352697.12204080
1732280400000,2024-11-22T13:00:00.000Z,98621.05000000,98628.87000000,97344.90000000,97763.54000000,3839.86087000,1732283999999,375955783.07738280,643936,1601.96892000,156859869.94105480
1732284000000,2024-11-22T14:00:00.000Z,97763.54000000,98147.41000000,97122.11000000,97296.00000000,3335.17223000,1732287599999,325506871.99697240,692038,1424.98982000,139087368.77678720
1732287600000,2024-11-22T15:00:00.000Z,97296.00000000,98770.00000000,97155.68000000,98664.00000000,3089.62303000,1732291199999,303400930.24026250,669807,1634.22193000,160489065.03873360
1732291200000,2024-11-22T16:00:00.000Z,98663.99000000,99010.00000000,98220.00000000,98865.30000000,2350.90254000,1732294799999,231829310.13265510,455130,1355.72948000,133727878.16627260
1732294800000,2024-11-22T17:00:00.000Z,98865.30000000,99275.00000000,98753.66000000,98801.87000000,1981.76744000,1732298399999,196213731.18698300,368168,942.51626000,93317531.46221460
1732298400000,2024-11-22T18:00:00.000Z,98801.87000000,99174.00000000,98677.37000000,99108.87000000,1760.48396000,1732301999999,174195334.29152200,395220,846.69472000,83773541.67970190
1732302000000,2024-11-22T19:00:00.000Z,99108.87000000,99588.01000000,98838.01000000,99079.74000000,3447.90227000,1732305599999,342498637.11163070,385992,2145.78752000,213197477.05133700
1732305600000,2024-11-22T20:00:00.000Z,99079.74000000,99449.00000000,98924.01000000,99163.99000000,1805.05499000,1732309199999,178965213.18383620,362364,953.45519000,94524785.86340510
1732309200000,2024-11-22T21:00:00.000Z,99164.00000000,99307.27000000,98711.37000000,99272.72000000,1123.81247000,1732312799999,111265869.52945210,194166,559.36287000,55385216.99916550
1732312800000,2024-11-22T22:00:00.000Z,99272.72000000,99369.99000000,98535.00000000,98627.35000000,1189.07747000,1732316399999,117565450.36068780,133935,525.18910000,51927450.87542170
1732316400000,2024-11-22T23:00:00.000Z,98627.36000000,98904.00000000,98576.85000000,98892.00000000,810.28406000,1732319999999,80013980.39938080,95378,334.98876000,33083551.71007720
1732320000000,2024-11-23T00:00:00.000Z,98892.00000000,98908.85000000,98550.02000000,98634.89000000,1023.70905000,1732323599999,101056433.93980020,129967,456.51133000,45062129.72447340
1732323600000,2024-11-23T01:00:00.000Z,98634.88000000,98655.72000000,98313.48000000,98590.00000000,1346.17227000,1732327199999,132595675.76601580,153642,623.20573000,61385637.54162630
1732327200000,2024-11-23T02:00:00.000Z,98590.00000000,98604.01000000,98300.00000000,98483.54000000,966.83006000,1732330799999,95160663.65159280,136210,434.73094000,42791087.39218770
1732330800000,2024-11-23T03:00:00.000Z,98483.53000000,98800.00000000,98404.02000000,98666.67000000,581.60262000,1732334399999,57375082.56134320,116748,284.40254000,28057725.73969200
1732334400000,2024-11-23T04:00:00.000Z,98666.66000000,98695.95000000,98284.61000000,98576.14000000,1249.36095000,1732337999999,123114978.32133900,197072,538.65274000,53077525.37255770
1732338000000,2024-11-23T05:00:00.000Z,98576.14000000,98769.24000000,98399.83000000,98755.15000000,603.03176000,1732341599999,59451619.21793350,149114,295.58395000,29141900.01202740
